name,sub_area,area,grade,star_count,popular
Manta Ray,Devils Lake Bouldering,Devil's Lake,7,2.5,2
Call of the Wild,Devils Lake Bouldering,Devil's Lake,8,2.5,3
Whetstone,Devils Lake Bouldering,Devil's Lake,5,3,1
Tilted Boulder Slab,Devils Lake Bouldering,Devil's Lake,0,1.5,7
Upper Block,Devils Lake Bouldering,Devil's Lake,0,2,5
Multi Baby,Devils Lake Bouldering,Devil's Lake,0,2,1
Weasel Warmup,Devils Lake Bouldering,Devil's Lake,0,2,16
Steffi's Dripping High Ball,Devils Lake Bouldering,Devil's Lake,1,2,1
Dirty North,Devils Lake Bouldering,Devil's Lake,1,1.5,7
North by Northwest,Devils Lake Bouldering,Devil's Lake,2,4,6
Spit out the Seeds,Devils Lake Bouldering,Devil's Lake,2,2,3
Suck on the Juice,Devils Lake Bouldering,Devil's Lake,3,1.5,4
Weasel in yo Pants,Devils Lake Bouldering,Devil's Lake,3,2,18
Weasel Bite,Devils Lake Bouldering,Devil's Lake,3,2,6
Sir Mix Alot,Devils Lake Bouldering,Devil's Lake,4,3.5,9
Le Craguette,Devils Lake Bouldering,Devil's Lake,4,2.5,6
The Gift,Devils Lake Bouldering,Devil's Lake,4,1.5,3
Smooth Operator,Devils Lake Bouldering,Devil's Lake,4,4,33
Weasel Left,Devils Lake Bouldering,Devil's Lake,5,1.5,12
Bud White,Devils Lake Bouldering,Devil's Lake,6,3.5,3
The One and Only,Devils Lake Bouldering,Devil's Lake,7,2,6
Catch Me If You Can,Devils Lake Bouldering,Devil's Lake,7,1.5,2
Funk Show Brother,Devils Lake Bouldering,Devil's Lake,7,1.5,4
Mini Cooper,Devils Lake Bouldering,Devil's Lake,7,2,1
What Up Weasel,Devils Lake Bouldering,Devil's Lake,7,3.5,58
Bordeaux,Devils Lake Bouldering,Devil's Lake,8,1.5,3
Licking the Weasel,Devils Lake Bouldering,Devil's Lake,8,1.5,3
Smooth Roof Project,Devils Lake Bouldering,Devil's Lake,8,2,1
Corner Store,Devils Lake Bouldering,Devil's Lake,9,2.5,5
Tilted Sloper Project,Devils Lake Bouldering,Devil's Lake,11,3,1
Tilted Face Project,Devils Lake Bouldering,Devil's Lake,11,3,1
Whale's Tail,Devils Lake Bouldering,Devil's Lake,2,2.5,3
McMantle,Devils Lake Bouldering,Devil's Lake,3,2,2
Fairy Tale,Devils Lake Bouldering,Devil's Lake,2,3,2
Dorsal Fin,Devils Lake Bouldering,Devil's Lake,7,2.5,2
Awesome Blossom,Devils Lake Bouldering,Devil's Lake,10,3,1
The Fox Den,Devils Lake Bouldering,Devil's Lake,2,2,1
What does the fox say?,Devils Lake Bouldering,Devil's Lake,3,1.5,2
Outsmart the Fox,Devils Lake Bouldering,Devil's Lake,3,2,2
The Fox Hole,Devils Lake Bouldering,Devil's Lake,5,2,1
Good Touch,Devils Lake Bouldering,Devil's Lake,2,2.5,2
Step Left,Devils Lake Bouldering,Devil's Lake,0,1.5,2
Smackdown,Devils Lake Bouldering,Devil's Lake,2,2,6
Watch Your Step,Devils Lake Bouldering,Devil's Lake,4,2.5,2
Sir Slap Alot,Devils Lake Bouldering,Devil's Lake,4,2,6
[Redacted],Devils Lake Bouldering,Devil's Lake,5,2,1
Bitch Better Have My Money,Devils Lake Bouldering,Devil's Lake,6,2,2
Smackdown Sit,Devils Lake Bouldering,Devil's Lake,7,2.5,5
Scapularis,Devils Lake Bouldering,Devil's Lake,4,2.5,4
Hot Wing,Devils Lake Bouldering,Devil's Lake,6,2,1
Ride the Lightning,Devils Lake Bouldering,Devil's Lake,0,2,2
Big Red,Devils Lake Bouldering,Devil's Lake,0,3.5,24
Dark Red,Devils Lake Bouldering,Devil's Lake,7,2,1
Chip and Dales,Devils Lake Bouldering,Devil's Lake,8,2,1
Juicy Fruit,Devils Lake Bouldering,Devil's Lake,0,2,2
Finding Remo,Devils Lake Bouldering,Devil's Lake,6,2,1
Coldplay,Devils Lake Bouldering,Devil's Lake,8,2.5,2
Shoo Fly,Devils Lake Bouldering,Devil's Lake,3,3,1
